OffspringID,InferredDad,InferredMum,Probability
KCHILGMR21p_1,*,#,1
KCHILGMR21p_2,*,#,1
KCHILGMR21p_3,*,#,1
KCHILGMR21p_4,*,KTAHI20_194,1
KCHILGMR21p_5,*,#,1
KCHILGMR21p_6,*,#,1
KCHILGMR21p_7,*,#,1
KCHILGMR21p_8,*,#,1
KCHILGMR21p_9,*,#,1
KCHILGMR21p_10,*,#,1
KCHILGMR21p_11,KTAHI20_190,#,1
KCHILGMR21p_12,*,#,1
KCHILGMR21p_13,*,#,1
KCHILGMR21p_14,*,#,1
KCHILGMR21p_15,*,#,1
KCHILGMR21p_16,*,#,1
KCHILGMR21p_17,*,#,1
KCHILGMR21p_18,*,#,1
KCHILGMR21p_19,*,KTAHI20_115,1
KCHILGMR21p_20,*,#,1
KCHILGMR21p_21,*,#,1
KCHILGMR21p_22,*,#,1
KCHILGMR21p_23,*,#,1
KCHILGMR21p_24,*,#,1
KCHILGMR21p_25,*,#,1
KCHILGMR21p_26,*,#,1
KCHILGMR21p_27,*,#,1
KCHILGMR21p_28,*,KTAHI20_69,1
KCHILGMR21p_29,KCHILGN20_52,#,1
KCHILGMR21p_30,*,#,1
KCHILGMR21p_31,*,KCHILFW20_134,1
KCHILGMR21p_33,*,#,1
KCHILGMR21p_34,*,#,1
KCHILGMR21p_36,*,KCHILGN20_151,1
KCHILGMR21p_37,KTAHI20_172,#,1
KCHILGMR21p_38,KTAHI20_217,#,1
KCHILGMR21p_39,*,#,1
KCHILGMR21p_40,*,#,1
KCHILGMR21p_41,*,#,1
KCHILGMR21p_42,*,#,1
KCHILGMR21p_43,*,#,1
KCHILGMR21p_44,KCHILFW20_90,#,1
KCHILGMR21p_45,*,#,1
KCHILGMR21p_46,*,#,1
KCHILGMR21p_47,*,#,1
KCHILGMR21p_48,*,#,1
KCHILGMR21p_49,*,#,1
KCHILGMR21p_50,*,#,1
KCHILGMR21p_51,*,#,1
KCHILGMR21p_52,*,#,1
KCHILGMR21p_53,*,#,1
KCHILGMR21p_54,*,#,1
KCHILGMR21p_55,KTAHI20_190,#,1
KCHILGMR21p_56,KTAHI20_219,#,1
KCHILGMR21p_57,*,#,1
KCHILGMR21p_58,KCHILGN20_33,#,1
KCHILGMR21p_59,*,#,1
KCHILGMR21p_60,*,#,1
KCHILGMR21p_61,*,#,1
KCHILGMR21p_62,*,#,1
KCHILGMR21p_63,KCHILGN20_94,#,1
KCHILGMR21p_64,*,#,1
KCHILGMR21p_65,KCHILGN20_117,#,1
KCHILGMR21p_66,*,#,1
KCHILGMR21p_67,KTAHI20_63,#,1
KCHILGMR21p_68,*,#,1
KCHILGMR21p_69,*,KTAHI20_88,1
KCHILGMR21p_70,*,KTAHI20_168,1
KCHILGMR21p_71,*,#,1
KCHILGMR21p_72,KTAHI20_121,#,1
KCHILGMR21p_73,*,#,1
KCHILGMR21p_74,KTAHI20_190,#,1
KCHILGMR21p_75,*,KTAHI20_191,1
KCHILGMR21p_76,*,#,1
KCHILGMR21p_77,*,#,1
KCHILGMR21p_78,*,#,1
KCHILGMR21p_79,*,#,1
KCHILGMR21p_80,*,#,1
KCHILGMR21p_81,*,KTAHI20_216,1
KCHILGMR21p_82,*,#,1
KCHILGMR21p_83,*,#,1
KCHILGMR21p_84,*,#,1
KCHILGMR21p_85,*,#,1
KCHILGMR21p_86,*,#,1
KCHILGMR21p_87,*,#,1
KCHILGMR21p_88,KCHILGN20_117,#,1
KCHILGMR21p_89,*,#,1
KCHILGMR21p_91,*,#,1
KCHILGMR21p_92,*,#,1
KCHILGMR21p_93,*,#,1
KCHILGMR21p_94,*,#,1
KCHILGMR21p_95,KTAHI20_157,#,1
KCHILGMR21p_96,*,#,1
KCHILGMR21p_97,*,#,1
KCHILGMR21p_98,*,#,1
KCHILGMR21p_99,*,#,1
KCHILGMR21p_100,*,#,1
KCHILGMR21p_101,*,#,1
KCHILGMR21p_102,*,#,1
KCHILGMR21p_103,KTAHI20_63,#,1
KCHILGMR21p_104,*,#,1
KCHILGMR21p_105,*,KTAHI20_123,1
KCHILGMR21p_106,*,#,1
KCHILGMR21p_107,*,KTAHI20_115,1
KCHILGMR21p_108,*,#,1
KCHILGMR21p_109,*,#,1
KCHILGMR21p_110,*,#,1
KCHILGMR21p_111,*,#,1
KCHILGMR21p_112,KTAHI20_10,#,1
KCHILGMR21p_113,*,#,1
KCHILGMR21p_114,*,#,1
KCHILGMR21p_115,*,#,1
KCHILGMR21p_116,*,#,1
KCHILGMR21p_117,*,#,1
KCHILGMR21p_118,*,#,1
KCHILGMR21p_119,*,#,1
KCHILGMR21p_120,*,KCHILGN20_104,1
KCHILGMR21p_121,*,#,1
KCHILGMR21p_122,*,#,1
KCHILGMR21p_123,*,#,1
KCHILGMR21p_124,*,KTAHI20_168,1
KCHILGMR21p_125,KCHILFW20_76,#,1
KCHILGMR21p_126,KTAHI20_106,#,1
KCHILGMR21p_127,KCHILGN20_126,KTAHI20_168,1
KCHILGMR21p_128,*,KTAHI20_168,1
KCHILGMR21p_129,*,#,1
KCHILGMR21p_130,*,#,1
KCHILGMR21p_131,KTAHI20_172,#,1
KCHILGMR21p_132,*,#,1
KCHILGMR21p_133,*,#,1
KCHILGMR21p_134,*,KTAHI20_196,1
KCHILGMR21p_135,*,#,1
KCHILGMR21p_136,*,KTAHI20_191,1
KCHILGMR21p_137,*,#,1
KCHILGMR21p_138,KTAHI20_21,#,1
KCHILGMR21p_139,*,#,1
KCHILGMR21p_140,*,#,1
KCHILGMR21p_141,*,#,1
KCHILGMR21p_142,*,#,1
KCHILGMR21p_143,*,#,1
KCHILGMR21p_144,*,#,1
KCHILGMR21p_145,*,#,1
KCHILGMR21p_146,*,#,1
KCHILGMR21p_147,*,#,1
KCHILGMR21p_148,KCHILFW20_76,#,1
KCHILGMR21p_149,KTAHI20_190,#,1
KCHILGMR21p_150,*,#,1
KCHILGMR21p_151,*,#,1
KCHILGMR21p_152,*,#,1
KCHILGMR21p_153,*,KTAHI20_199,1
KCHILGMR21p_154,*,#,1
KCHILGMR21p_155,*,#,1
KCHILGMR21p_156,*,#,1
KCHILGMR21p_157,*,#,1
KCHILGMR21p_158,*,KTAHI20_168,1
KCHILGMR21p_159,*,#,1
KCHILGMR21p_160,*,#,1
KCHILGMR21p_161,*,#,1
KCHILGMR21p_162,*,KCHILFW20_84,0.8864
KCHILGMR21p_162,*,#,0.1136
KCHILGMR21p_163,KTAHI20_51,KTAHI20_76,1
KCHILGMR21p_164,*,#,1
KCHILGMR21p_165,*,#,1
KCHILGMR21p_166,KCHILGN20_66,#,1
KCHILGMR21p_167,*,#,1
KCHILGMR21p_168,*,#,1
KCHILGMR21p_169,KTAHI20_63,#,1
KCHILGMR21p_170,*,KTAHI20_176,1
KCHILGMR21p_171,*,#,1
KCHILGMR21p_172,*,#,1
