key,colony_id,colony_id_event_1,colony_id_event_2,SillySource,pass_geno_QA_all,pass_geno_QA_event_1,pass_geno_QA_event_2,silly,fish_id_LOKI,location,lifestage,event,fish_no,date,sex,card,col,FL,weight,MEF,age_FW,age_SW,age_final,tag_type,tag_no,cinch,BY,release_YR,comment,genetic_sample,recapture
gillnet_1,Chilkat_adults_155,Chilkat_event_1_155,NA,KCHILGN20_1,TRUE,TRUE,FALSE,KCHILGN20,1,gillnet,adult,1,1,2020-06-09,M,1,1,NA,NA,820,1,3,1.3,S,1904,NA,NA,NA,NA,YES,FALSE
gillnet_2,Chilkat_adults_156,Chilkat_event_1_156,NA,KCHILGN20_2,TRUE,TRUE,FALSE,KCHILGN20,2,gillnet,adult,1,2,2020-06-09,M,1,2,NA,NA,650,1,2,1.2,S,1905,NA,NA,NA,NA,YES,FALSE
gillnet_3,Chilkat_adults_157,Chilkat_event_1_157,NA,KCHILGN20_3,TRUE,TRUE,FALSE,KCHILGN20,3,gillnet,adult,1,3,2020-06-09,F,1,3,NA,NA,855,1,4,1.4,S,1906,NA,NA,NA,NA,YES,FALSE
gillnet_4,Chilkat_adults_158,Chilkat_event_1_158,NA,KCHILGN20_4,TRUE,TRUE,FALSE,KCHILGN20,4,gillnet,adult,1,4,2020-06-11,F,1,4,NA,NA,810,1,3,1.3,S,1907,NA,NA,NA,recovered Tahini 8.6.2020 F 780,YES,FALSE
gillnet_5,Chilkat_adults_159,Chilkat_event_1_159,NA,KCHILGN20_5,TRUE,TRUE,FALSE,KCHILGN20,5,gillnet,adult,1,5,2020-06-12,F,1,5,NA,NA,800,1,4,1.4,S,1908,NA,NA,NA,NA,YES,FALSE
gillnet_6,Chilkat_adults_160,Chilkat_event_1_160,NA,KCHILGN20_6,TRUE,TRUE,FALSE,KCHILGN20,6,gillnet,adult,1,6,2020-06-17,F,1,6,NA,NA,840,1,3,1.3,S,1909,NA,NA,NA,NA,YES,FALSE
gillnet_7,Chilkat_adults_161,Chilkat_event_1_161,NA,KCHILGN20_7,TRUE,TRUE,FALSE,KCHILGN20,7,gillnet,adult,1,7,2020-06-17,M,1,7,NA,NA,660,1,2,1.2,S,1910,NA,NA,NA,NA,YES,FALSE
gillnet_8,Chilkat_adults_162,Chilkat_event_1_162,NA,KCHILGN20_8,TRUE,TRUE,FALSE,KCHILGN20,8,gillnet,adult,1,8,2020-06-18,F,1,8,NA,NA,850,1,3,1.3,S,1911,NA,NA,NA,NA,YES,FALSE
gillnet_9,Chilkat_adults_163,Chilkat_event_1_163,NA,KCHILGN20_9,TRUE,TRUE,FALSE,KCHILGN20,9,gillnet,adult,1,9,2020-06-18,M,1,9,NA,NA,920,1,3,1.3,S,1912,NA,NA,NA,NA,YES,FALSE
gillnet_10,Chilkat_adults_164,Chilkat_event_1_164,NA,KCHILGN20_10,TRUE,TRUE,FALSE,KCHILGN20,10,gillnet,adult,1,10,2020-06-19,F,1,10,NA,NA,790,1,4,1.4,S,1913,NA,NA,NA,NA,YES,FALSE
