silly,fish_id_LOKI,location,lifestage,event,fish_no,date,sex,card,col,FL,weight,MEF,age_FW,age_SW,AEC,tag_type,tag_no,cinch,BY,release_YR,comment,genetic_sample
KCHILGN20,1,gillnet,adult,1,1,6/9/2020,M,1,1,,,820,,,13,S,1904,,,,,YES
KCHILGN20,2,gillnet,adult,1,2,6/9/2020,M,1,2,,,650,,,12,S,1905,,,,,YES
KCHILGN20,3,gillnet,adult,1,3,6/9/2020,F,1,3,,,855,,,14,S,1906,,,,,YES
KCHILGN20,4,gillnet,adult,1,4,6/11/2020,F,1,4,,,810,,,13,S,1907,,,,recovered Tahini 8.6.2020 F 780,YES
KCHILGN20,5,gillnet,adult,1,5,6/12/2020,F,1,5,,,800,,,14,S,1908,,,,,YES
KCHILGN20,6,gillnet,adult,1,6,6/17/2020,F,1,6,,,840,,,RR,S,1909,,,,,YES
KCHILGN20,7,gillnet,adult,1,7,6/17/2020,M,1,7,,,660,,,RR,S,1910,,,,,YES
KCHILGN20,8,gillnet,adult,1,8,6/18/2020,F,1,8,,,850,,,13,S,1911,,,,,YES
KCHILGN20,9,gillnet,adult,1,9,6/18/2020,M,1,9,,,920,,,R3,S,1912,,,,,YES
KCHILGN20,10,gillnet,adult,1,10,6/19/2020,F,1,10,,,790,,,R4,S,1913,,,,,YES
KCHILGN20,11,gillnet,adult,1,11,6/19/2020,M,2,1,,,805,,,13,S,1914,,,,,YES
KCHILGN20,12,gillnet,adult,1,12,6/20/2020,M,2,2,,,910,,,R4,S,1915,,,,,YES
KCHILGN20,13,gillnet,adult,1,13,6/20/2020,F,2,3,,,850,,,14,S,1916,,,,,YES
KCHILGN20,14,gillnet,adult,1,14,6/20/2020,M,2,4,,,775,,,13,S,1917,,,,recovered Big Boulder 7.31.2020 M 745,YES
KCHILGN20,15,gillnet,adult,1,15,6/21/2020,M,2,5,,,630,,,12,S,1918,,,,,YES
KCHILGN20,16,gillnet,adult,1,16,6/21/2020,F,2,6,,,875,,,13,S,1919,,,,,YES
KCHILGN20,17,gillnet,adult,1,17,6/21/2020,M,2,7,,,920,,,13,S,1920,,,,,YES
KCHILGN20,18,gillnet,adult,1,18,6/21/2020,M,2,8,,,880,,,14,S,1921,,,,,YES
KCHILGN20,19,gillnet,adult,1,19,6/22/2020,F,3,1,,,890,,,13,S,1922,,,,,YES
KCHILGN20,20,gillnet,adult,1,20,6/22/2020,M,3,2,,,630,,,13,S,1923,,,,,YES
KCHILGN20,21,gillnet,adult,1,21,6/22/2020,F,3,3,,,940,,,14,S,1924,,,,,YES
KCHILGN20,22,gillnet,adult,1,22,6/22/2020,M,3,4,,,900,,,R3,S,1925,,,,,YES
KCHILGN20,23,gillnet,adult,1,23,6/22/2020,F,3,5,,,800,,,13,S,1926,,,,recovered Tahini 8.3.2020 F 820,YES
KCHILGN20,24,gillnet,adult,1,24,6/22/2020,M,3,6,,,950,,,14,S,1927,,,,,YES
KCHILGN20,25,gillnet,adult,1,25,6/22/2020,M,3,7,,,850,,,R3,S,1928,,,,,YES
KCHILGN20,26,gillnet,adult,1,26,6/23/2020,F,4,1,,,780,,,13,S,1929,,,,recovered Tahini 8.11.2020 F 830,YES
KCHILGN20,27,gillnet,adult,1,27,6/23/2020,F,4,2,,,830,,,13,S,1930,,,,,YES
KCHILGN20,28,gillnet,adult,1,28,6/23/2020,F,4,3,,,820,,,R3,S,1931,,,,,YES
KCHILGN20,29,gillnet,adult,1,29,6/23/2020,F,4,4,,,850,,,13,S,1932,,,,,YES
KCHILGN20,30,gillnet,adult,1,30,6/23/2020,M,4,5,,,780,,,13,S,1933,,,,,YES
KCHILGN20,31,gillnet,adult,1,31,6/23/2020,M,4,6,,,760,,,13,S,1934,,,,,YES
KCHILGN20,32,gillnet,adult,1,32,6/23/2020,F,4,7,,,830,,,13,S,1936,,,,tag # out of sequence,YES
KCHILGN20,33,gillnet,adult,1,33,6/23/2020,F,4,8,,,790,,,13,S,1935,,,,recovered Tahini 8.27.2020 length n/a,YES
KCHILGN20,34,gillnet,adult,1,34,6/24/2020,F,5,1,,,860,,,13,S,1937,,,,,YES
KCHILGN20,35,gillnet,adult,1,35,6/24/2020,F,5,2,,,785,,,13,S,1938,,,,,YES
KCHILGN20,36,gillnet,adult,1,36,6/24/2020,F,5,3,,,775,,,13,S,1939,,,,,YES
KCHILGN20,37,gillnet,adult,1,37,6/24/2020,M,5,4,,,760,,,13,S,1940,,,,,YES
KCHILGN20,38,gillnet,adult,1,38,6/24/2020,F,5,5,,,900,,,14,S,1941,,,,,YES
KCHILGN20,39,gillnet,adult,1,39,6/25/2020,M,6,1,,,800,,,13,S,1942,,,,,YES
KCHILGN20,40,gillnet,adult,1,40,6/25/2020,F,6,2,,,840,,,14,S,1943,,,,,YES
KCHILGN20,41,gillnet,adult,1,41,6/25/2020,M,6,3,,,750,,,R3,S,1944,,,,,YES
KCHILGN20,42,gillnet,adult,1,42,6/25/2020,F,6,4,,,770,,,13,S,1945,,,,,YES
KCHILGN20,43,gillnet,adult,1,43,6/25/2020,M,6,5,,,780,,,RR,S,1946,,,,,YES
KCHILGN20,44,gillnet,adult,1,44,6/25/2020,M,6,6,,,720,,,R3,S,1947,,,,,YES
KCHILGN20,45,gillnet,adult,1,45,6/25/2020,M,6,7,,,630,,,12,S,1948,,,,,YES
